published_date,platform,format,title_or_opening,url,topic,status
2026-08-03,Insight Extractor,newsletter essay,What data science professionals need to do now to stay relevant,https://www.insightextractor.com/p/what-data-science-professionals-need,data careers,verified_public
2026-07-22,Insight Extractor,newsletter essay,3 things data professionals shouldn't outsource to AI,https://www.insightextractor.com/p/3-things-data-professionals-shouldnt,data careers,verified_public
2026-07-22,Insight Extractor,session archive,[Session slide & recording] 3 Things Data Professionals Should Never Outsource to AI,https://www.insightextractor.com/p/session-slide-and-recording-3-things,teaching,verified_public
2026-07-16,Insight Extractor,session archive,[Session slide & recording] Build 3 AI Harnesses for Trustworthy Analytics,https://www.insightextractor.com/p/session-slide-and-recording-build,teaching,verified_public
2026-07-13,Insight Extractor,newsletter essay,"What OpenAI, Anthropic, and Meta learned after putting data agents to work",https://www.insightextractor.com/p/what-openai-anthropic-and-meta-learned,agentic analytics,verified_public
2026-07-13,Insight Extractor,session archive,[Session slide & recording] Assess Your AI Data and Analytics Capabilities,https://www.insightextractor.com/p/session-slide-and-recording-assess,teaching,verified_public
2026-07-10,Insight Extractor,session archive,[Session slide & recording] Catch 7 AI Analysis Mistakes Before They Drive Decisions,https://www.insightextractor.com/p/maven-session-slide-deck-download,teaching,verified_public
2026-07-03,Insight Extractor,newsletter essay,The 4 levels of an AI-native data team,https://www.insightextractor.com/p/the-4-levels-of-an-ai-native-data,operating model,verified_public
2026-07-01,Insight Extractor,event note,[Upcoming webinar] Catch 7 AI Analysis Mistakes Before They Drive Decisions,https://www.insightextractor.com/p/upcoming-webinar-catch-7-ai-analysis,teaching,verified_public
2026-06-16,Insight Extractor,newsletter essay,Why 15+ Data Job Titles Will Collapse Into Just 2 by 2027 (And It's Already Happening),https://www.insightextractor.com/p/why-15-data-job-titles-will-collapse,data careers,verified_public
2026-06-14,Insight Extractor,newsletter essay,Semantic Models Are Not Dead,https://www.insightextractor.com/p/semantic-models-are-not-dead,semantic layer,verified_public
2026-06-11,Insight Extractor,newsletter essay,Landing a Data Role in 2026: 9 AI-Era Tactics from 100+ Interviews,https://www.insightextractor.com/p/landing-a-data-role-in-2026-9-ai,data careers,verified_public
2026-08-03,LinkedIn,text post,AI can write the SQL. Companies are still screening for five things it can't do.,https://www.linkedin.com/feed/update/urn:li:activity:7490194051804065792/,data careers,verified_public
2026-08-03,LinkedIn,article release,New edition of Data Careers: What data science professionals need to do now to stay relevant,https://www.linkedin.com/feed/update/urn:li:activity:7490058988928290816/,data careers,verified_public
2026-08-02,LinkedIn,field note,"When DoorDash released a CLI, I had to try it.",https://www.linkedin.com/feed/update/urn:li:activity:7489768659263877120/,agent field note,verified_public
2026-07-22,LinkedIn,article release,3 things data professionals shouldn't outsource to AI,https://www.linkedin.com/feed/update/urn:li:activity:7485785435730882560/,data careers,verified_public
